Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Hydrothyria	7	Symbiotroph	Lichenized		Highly Probable	Syn. Peltigera	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hygrochroma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrocybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrophoropsis	7	Saprotroph			Probable	Brown rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hygrophorus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hymenagaricus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenelia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hymenochaete	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenochaete agglutinans	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hymenogaster	7	Symbiotroph	Ectomycorrhizal		Possible		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45 (ECM/Not ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/Not ECM)"
Hymenogloea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenogramme	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenopellis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenoscyphus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenostilbe	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hymenula affinis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hymenula cerealis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hypasteridium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyperdermium	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyperphyscia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hyphoderma	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodermella	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodermella corrugata	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hyphodiscus hymeniophilus	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hyphodontia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodontia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodontia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodontiastra	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphodontiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypholoma	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypholoma	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphomucor	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hyphopichia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Hyphoradulum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocenomyce	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hypochnella	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypochniciellum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypochnicium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypochnicium vellereum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hypochnus centrifugus	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hypochnus ochroleucus	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Hypocopra	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocrea	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocrea ceramica	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea chromosperma	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea cinereoflava	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea estonica	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea farinosa	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea latizonata	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea lixii	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea pachybasioides	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea pallida	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea pulvinata	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea scutellaeformis	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea strictipilosa	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrea sulphurea	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocrella	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocreodendron	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocreopsis	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypocreopsis lichenoides	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypocreopsis rhododendri	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypoderma	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypodermella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypoflavia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypogymnia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hypohelion	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypomyces	7	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hypomyces aurantius	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Hyponectria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypotarzetta	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypotrachyna	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Hypoxylon	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypsizygus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hypsostroma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterangium	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Hysterium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterobrevium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterocarina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterodiscula	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterogaster	7	Symbiotroph	Ectomycorrhizal		Probable		http://mycorrhizas.info/ecmf.html
Hysteroglonium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterographium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysteropatella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Hysterostomella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ichthyosporidium	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Icmadophila	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Idiomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Idriella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Idriella lunata	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Ijuhya	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ileodictyon	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Illosporiopsis christiansenii	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Illosporium carneum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Illosporium corallinum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ilyomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ilyonectria	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ilytheomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Imaia	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Imazekia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Immersaria	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Immersidiscosia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Immersiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Imshaugia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Incrucipulum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrupila	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrustocalyptella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Incrustoporia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Induratia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inermisia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inflahypha	7	Symbiotroph	Arbuscular mycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inflatostereum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundibulicybe	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundibura	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Infundichalara	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ingaderia	7	Symbiotroph	Lichenized		Highly Probable		Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Ingoldiomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ingvariella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Inocephalus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inocutis	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inocybe	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Inocyclus	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inonotopsis	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Inonotus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Inopilus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Insolibasidium	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Instraspora	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Intextomyces	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Intralichen baccisporus	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen christiansenii	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen lichenicola	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intralichen lichenum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Intraomatospora	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Intrapes	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Intraspora	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Involucropyrenium	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Involucropyrenium	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Iodophanus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Iodowynnea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Iola	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ionaspis	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Ionomidotis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ioplaca	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Irene perseae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Irenopsis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Irpex	7	Saprotroph	Wood Rot		Highly Probable	Brown Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Irpicodon	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isaria	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isaria fuciformis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Isariopsis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isariopsis clavispora	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Ischnoderma	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Ishwaramyces	7	Biotroph	Endophyte		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ishwaromyces	7	Biotroph	Endophyte		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isomucor	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isomyces	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Isothea	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Issatchenkia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Isthmiella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isthmospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Isthmosporella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Itersonilia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Itersonilia perplexans	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Iwilsoniella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Ixocomus	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaapia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jackelixia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jacobsonia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaculispora	7	Biotroph	Mycoparasite	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jaffuela	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jafnea	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jahnoporus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Jahnula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jamesdicksonia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jamesiella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Jaminaea	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Janannfeldtia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Japewia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Japewiella	7	Symbiotroph	Lichenized		Highly Probable		Printzen C. 1999. The Bryologist 102: 714-719
Japonia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jarixa	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Jarmania	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jarxia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Jattaea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Javaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jenmania	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Joergensenia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Joerstadia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johansonia	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johncouchia	7	Biotroph	Animal Pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Johncouchia mangiferae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Johnkarlingia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jola	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Josefpoeltia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jugulospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Julella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Juliohirschhornia	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Jumillera	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Junghuhnia	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Junghuhnia nitida	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Kabatia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kabatiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kabatiella caulivorum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kabatiella zeae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kabatina	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kacosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kaernefeltia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kainomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalaallia	7	Biotroph	Lichenicolous		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalaharituber	7	Symbiotroph	Ectomycorrhizal		Possible		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45 (ECM); Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (Not ECM)"
Kalapuya	7	Symbiotroph	Ectomycorrhizal		Highly Probable		List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Kalbiana	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalbographa	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
